Syllable,Suggested Word,Word Pinyin,HSK Level,Frequency Rank,Has Image,Image File,Concreteness,AoA,Num Syllables,Score,approved
ming,签名,qiān míng,-,175,Yes,autograph_1.jpg,4.23,5.8,2,-3052.98,True
miu,NONE,-,-,-,No,,-,-,-,-,
mo,沙漠,shā mò,-,557,Yes,desert.jpeg,4.86,3.6,1,-3207.14,True
mou,某,mǒu,3,1164,No,,1.52,2.9,1,-1758.98,
mu,屏幕,píng mù,5,40377,Yes,screen.png,1.43,4.0,2,-2987.16,True
na,拿来,ná lái,1,26,Yes,bring.png,1.35,11.7,1,-3456.20,False
nan,困难,kùn nan,1,345,Yes,hard2.png,2.21,3.9,1,-3104.07,True
nang,胶囊,jiāo náng,-,-,Yes,capsule.jpg,4.52,-,-,-,False
nao,闹钟,nào zhōng,4,2058,Yes,alarm_clock.gif,3.56,15.4,1,-2013.99,True
nei,内衣,nèi yī,-,1816,Yes,underwear.jpeg,4.96,5.2,2,-1634.12,True
nen,NONE,-,-,-,No,,-,-,-,-,
neng,能,néng,1,30,Yes,can.png,2.79,4.0,1,-2813.50,True
ni,你,nǐ,1,46,Yes,you.jpg,4.11,4.3,2,-2047.50,True
nian,新年,xīn nián,1,4323,Yes,new_year.jpg,3.25,4.7,2,-2473.37,False
niang,小姑娘,xiǎo gū niang,3,834,Yes,girl.jpg,4.33,5.0,2,-1731.42,True
niao,鸟,niǎo,-,-,Yes,bird.png,-,-,-,-,True
nin,您,nín,1,230,No,,4.11,6.1,1,-631.98,
ning,宁静,níng jìng,4,6724,Yes,serenity_1.jpg,1.62,13.4,2,-1401.13,False
niu,牛,niú,3,1407,Yes,cow.png,2.79,4.7,1,-2605.66,False
nong,农民,nóng mín,3,6600,Yes,farmer.jpg,3.96,4.7,2,-1917.94,False
nou,NONE,-,-,-,No,,-,-,-,-,
nu,发怒,fā nù,6,11634,Yes,mad.png,2.53,4.0,2,-2340.34,False
nuan,暖和,nuǎn huo,3,6336,Yes,warm.png,2.18,4.0,2,-1315.87,False
nuo,懦夫,nuò fū,-,1990,Yes,coward.jpg,2.93,4.0,2,-1061.30,True
nüe,虐待,nüè dài,-,-,Yes,torture.jpg,-,-,-,-,False
pai,牛排,niú pái,-,12201,Yes,steak.jpeg,4.96,4.0,3,-2887.98,True
pang,螃蟹,páng xiè,-,1356,Yes,crab.jpeg,4.9,4.7,2,-1303.66,False
pao,跑步,pǎo bù,3,5221,Yes,run.png,1.43,4.0,2,-3190.98,False
pei,匹配,pǐ pèi,-,6030,Yes,match.png,4.14,4.0,2,-2235.90,True
pian,卡片,kǎ piàn,2,693,Yes,card.png,3.46,3.7,1,-2380.73,True
piao,漂亮,piào liang,2,323,Yes,beautiful_1.jpg,2.16,4.1,2,-2925.07,False
pie,NONE,-,-,-,No,,-,-,-,-,
pin,拼盘,pīn pán,-,21220,Yes,platter.jpg,4.93,2.9,2,-2224.98,True
ping,苹果,píng guǒ,-,2211,Yes,apple.png,5,5.7,1,-3275.98,True
pu,葡萄,pú táo,-,4967,Yes,grape.jpeg,5,6.8,1,-1519.00,False
qia,掐,qiā,6,6287,Yes,pinch.jpg,1.93,9.2,2,-1088.77,False
qian,牙签,yá qiān,-,169,Yes,toothpick.jpg,4.93,7.2,1,-3086.38,True
qiang,墙,qiáng,2,1620,Yes,wall.jpg,2.10,4.0,1,-3058.34,False
qiao,跷跷板,qiāo qiāo bǎn,-,689,Yes,seesaw.jpg,4.92,4.0,1,-1848.43,True
qie,番茄酱,fān qié jiàng,-,722,Yes,ketchup.jpg,5,4.6,2,-1640.23,True
qin,亲亲,qīn qīn,3,1312,Yes,kiss.jpg,3.20,8.4,1,-2363.97,True
qing,青蛙,qīng wā,-,142,Yes,frog.png,5,3.5,1,-3393.19,True
qiong,穷人,qióng rén,4,5815,Yes,poor.png,1.43,4.0,2,-3090.62,False
quan,拳头,quán tou,-,3023,Yes,fist.png,4.93,4.0,2,-3290.90,True
